2026-06-28 17:07:36,778 | DEBUG    | httpcore.http11:atrace:87 | response_closed.complete
2026-06-28 17:07:36,780 | INFO     | autovideofactory.services.pipeline:_download_asset:267 | Downloaded asset: output\assets\scene_0.jpg (70159 bytes)
2026-06-28 17:07:36,781 | DEBUG    | httpcore.connection:atrace:87 | close.started
2026-06-28 17:07:36,782 | DEBUG    | httpcore.connection:atrace:87 | close.complete
2026-06-28 17:07:41,009 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.started host='image.pollinations.ai' port=443 local_address=None timeout=120.0 socket_options=None
2026-06-28 17:07:41,042 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017C05E1E3F0>
2026-06-28 17:07:41,043 | DEBUG    | httpcore.connection:atrace:87 | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000017C05CE7E20> server_hostname='image.pollinations.ai' timeout=120.0
2026-06-28 17:07:41,069 | DEBUG    | httpcore.connection:atrace:87 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017C05E25490>
2026-06-28 17:07:41,072 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.started request=<Request [b'GET']>
2026-06-28 17:07:41,073 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.complete
2026-06-28 17:07:41,074 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.started request=<Request [b'GET']>
2026-06-28 17:07:41,075 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.complete
2026-06-28 17:07:41,075 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.started request=<Request [b'GET']>
2026-06-28 17:08:21,805 | DEBUG    | httpcore.http11:atrace:87 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'image/jpeg'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Date', b'Sun, 28 Jun 2026 11:38:21 GMT'), (b'X-Content-Type-Options', b'nosniff'), (b'X-Model-Used', b'sana'), (b'CF-Ray', b'a12c669dce42ff6d-BOM'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Access-Control-Allow-Origin', b'*'), (b'Cache-Control', b'public, max-age=31536000, immutable'), (b'Content-Disposition', b'inline; filename="simple-illustration-of-a-futuristic-animation-of-ai-tools-appears-on-screen-clean-digital-art-style.jpg"'), (b'Server', b'cloudflare'), (b'Strict-Transport-Security', b'max-age=0; includeSubDomains; preload'), (b'Access-Control-Allow-Headers', b'Content-Type, X-PAYMENT'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'X-Auth-Status'), (b'Access-Control-Expose-Headers', b'X-Auth-Reason'), (b'Access-Control-Expose-Headers', b'X-PAYMENT-RESPONSE'), (b'Access-Control-Expose-Headers', b'X-Debug-Token'), (b'Access-Control-Expose-Headers', b'X-Debug-Token-Source'), (b'Access-Control-Expose-Headers', b'X-Debug-Referrer'), (b'Access-Control-Expose-Headers', b'X-Debug-Legacy-Token-Match'), (b'Access-Control-Expose-Headers', b'X-Debug-Allowlist-Match'), (b'Access-Control-Expose-Headers', b'X-Debug-User-Id'), (b'Nel', b'{"report_to":"cf-nel","success_fraction":0.0,"max_age":604800}'), (b'Report-To', b'{"group":"cf-nel","max_age":604800,"endpoints":[{"url":"https://a.nel.cloudflare.com/report/v4?s=V0bRQzV3XXgpkiK4oQy4q0ClPccvk%2FDLZLccIARhbFpqkLoC3sYWdbyXJ4PMjfFBqXK2Zf1h2%2BWadRrxprrWA634k4SBfFVVYuoNgXSIc30K0UctpsA7n%2Bfq%2FG8Xe%2BSgR3nHA5KGURFZ1W0NS64kbuZc%2BPmiWGLm4owM"}]}'), (b'X-Usage-Total-Tokens', b'1'), (b'X-Auth-Result', b'NONE'), (b'X-Auth-Status', b'unauthenticated'), (b'X-Usage-Completion-Image-Tokens', b'1'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 4ebba0c5401e3e42b9618d74bf6dd704.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'BOM78-P6'), (b'X-Amz-Cf-Id', b'jISKgGH8EeUwnvX8wvg92A8xJ46YFpL0tOCOug5nIxWKs_3cmR3g-Q=='), (b'Vary', b'Accept-Encoding')])
